,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
20,Saint Mary's ,WCC,19.33,116.1,96.8,62.9,0.023,3.18,-0.49,11,28,7,0.8
21,Colorado St. ,MWC,19.12,117.9,98.8,63.8,0.02,7.17,-0.49,8,26,9,0.7428571428571429
22,New Mexico ,MWC,19.02,109.9,90.9,63.7,0.073,7.98,4.42,3,29,6,0.8285714285714286
23,Oklahoma St. ,B12,18.69,109,90.3,66.1,-0.016,6.38,-2.26,5,24,9,0.7272727272727273
24,Missouri ,SEC,18.53,114.9,96.4,66.3,-0.032,5.62,-2.02,9,23,11,0.6764705882352942
25,Marquette ,BE,18.32,113.2,94.9,63.3,0.09,9.28,-1.14,3,26,9,0.7428571428571429
26,Kansas St. ,B12,18.16,113.5,95.3,61.4,0.051,6.82,-3.29,4,27,8,0.7714285714285715
27,Iowa St. ,B12,17.63,117.5,99.8,68.3,-0.046,6.74,-3.12,10,23,12,0.6571428571428571
28,San Diego St. ,MWC,17.43,107.7,90.3,65.5,-0.049,7.65,1.92,7,23,11,0.6764705882352942
29,North Carolina ,ACC,17.14,112.2,95.1,69.6,0.038,8.57,-0.95,8,25,11,0.6944444444444444
30,North Carolina St. ,ACC,16.99,116.8,99.8,66.8,-0.032,6.54,-0.36,8,24,11,0.6857142857142857
31,Mississippi ,SEC,16.95,112.3,95.3,69.2,-0.011,3.19,-7.55,12,27,9,0.75
32,Oregon ,P12,16.78,106.6,89.8,67.9,0.052,5.92,-8.08,12,28,9,0.7567567567567568
33,Notre Dame ,BE,16.65,114.6,97.9,60.3,0.046,6.53,-6.61,7,25,10,0.7142857142857143
34,Memphis ,CUSA,16.33,107.3,91,68.3,0.056,1.9,0.43,6,31,5,0.8611111111111112
35,UNLV ,MWC,16.07,106,90,67.9,-0.015,6.23,-0.28,5,25,10,0.7142857142857143
36,Illinois ,B10,15.82,110.6,94.8,64.6,0.042,10.84,-0.8,7,23,13,0.6388888888888888
37,Cincinnati ,BE,15.57,105.9,90.4,63,-0.012,7.31,-5.68,10,22,12,0.6470588235294118
38,Butler ,A10,15.41,110.5,95.1,63.6,0.087,7.53,4.18,6,27,9,0.75
39,Belmont ,OVC,14.92,111.6,96.6,65.9,0.013,-0.74,5.39,11,26,7,0.7878787878787878
40,Middle Tennessee ,SB,14.77,107.3,92.5,63.4,0.052,-2.3,4.87,11,28,6,0.8235294117647058
41,Colorado ,P12,14.62,106.5,91.9,63.7,0.029,9.15,3.8,10,21,12,0.6363636363636364
42,UCLA ,P12,14.53,111.1,96.6,68.1,0.068,8.06,0.43,6,25,10,0.7142857142857143
43,La Salle ,A10,13.89,111.8,98,64.6,0.051,5.67,-0.5,13,24,10,0.7058823529411765
44,Oklahoma ,B12,13.8,111.1,97.3,65.2,0.004,7.8,2.47,10,20,12,0.625
45,Villanova ,BE,13.57,106.3,92.7,66.4,0.011,9.41,0.3,9,20,14,0.5882352941176471
46,Boise St. ,MWC,13.54,113.2,99.7,64.8,0.004,6.74,-1.38,13,21,11,0.65625
47,California ,P12,13.11,107.3,94.2,64.9,0.041,8.35,2.12,12,21,12,0.6363636363636364
48,Bucknell ,Pat,12.72,107.3,94.6,61.9,-0.014,-1.72,2.78,11,28,6,0.8235294117647058
49,Temple ,A10,12.67,111.3,98.6,65.6,0.038,5.48,0.82,9,24,10,0.7058823529411765
50,Akron ,MAC,11.52,106.8,95.2,65.2,0.085,-0.35,0.28,12,26,7,0.7878787878787878
51,Valparaiso ,Horz,11.42,110.7,99.3,64.3,0.021,-1.5,-3.18,14,26,8,0.7647058823529411
52,Davidson ,SC,11.36,112.1,100.7,63.9,-0.002,-5.09,6.42,14,26,8,0.7647058823529411
53,New Mexico St. ,WAC,7.68,104.7,97.1,63.8,0.039,0.36,3.94,13,24,11,0.6857142857142857
54,Iona ,MAAC,7.45,114.4,106.9,69.7,-0.07,0.94,4.09,15,20,14,0.5882352941176471
55,Harvard ,Ivy,7.07,108.1,101.1,63.3,0.037,0.6,5.07,14,20,10,0.6666666666666666
56,South Dakota St. ,Sum,6.79,112,105.2,62.6,0.03,-3.31,4.11,13,25,10,0.7142857142857143
57,Florida Gulf Coast ,ASun,6.27,104.9,98.6,67.9,0.039,-2.79,4.57,15,26,11,0.7027027027027027
58,Pacific ,BW,3.96,106.1,102.2,62.2,0.074,0.86,9.06,15,22,13,0.6285714285714286
59,Northwestern St. ,Slnd,2.82,106.6,103.8,71.9,0.075,-3.56,8.11,14,23,9,0.71875
60,Montana ,BSky,2.14,104.9,102.8,62.7,0.175,-5.21,8.71,13,25,7,0.78125
61,Albany ,AE,1.36,102.6,101.3,61.7,0.082,-5.19,-6.61,15,24,11,0.6857142857142857
62,Southern ,SWAC,0.5,99.3,98.8,63.4,-0.031,-11.47,4.12,16,23,10,0.696969696969697
63,Western Kentucky ,SB,-0.41,101.8,102.2,64.6,0.029,-2.47,3.24,16,20,16,0.5555555555555556
64,James Madison ,CAA,-0.92,100.2,101.1,62.9,0.063,-3.42,-4.5,16,21,15,0.5833333333333334
65,LIU Brooklyn ,NEC,-2.13,110.5,112.6,67.3,0.015,-6.79,-5.01,16,20,14,0.5882352941176471
66,North Carolina A&T ,MEAC,-5.3,93.2,98.5,65.5,0.037,-6.98,-1.55,16,20,17,0.5405405405405406
67,Liberty ,BSth,-9.38,101.3,110.6,64.4,-0.034,-6.47,-0.41,16,15,21,0.4166666666666667
