Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,AdjEM
Tulsa,CUSA,19-13,6.92,107.1,100.2,65.7,0,2.45,1.44
Oregon,P10,21-18,6.89,106.6,99.7,66.3,0.018,5.54,-4.27
Drexel,CAA,21-10,6.82,99.7,92.9,62.9,0.066,0.64,0.53
Valparaiso,Horz,23-12,6.6,106.4,99.8,66.2,0.057,1.78,1.76
Bucknell 14,Pat,25-9,6.57,105.8,99.2,64.5,0.068,-3.41,1.56
Creighton,MVC,23-16,6.38,109.9,103.5,63.6,-0.041,0.21,-5.06
Georgia Tech,ACC,13-18,6.25,102.3,96,67.8,-0.092,5.5,-3.27
Portland,WCC,20-12,6.21,111.5,105.3,63.1,0.052,1.42,1.21
Stanford,P10,15-16,6.16,104.7,98.6,64,-0.044,4.44,-6.23
Virginia,ACC,16-15,6.01,104,98,59.1,0.02,5.95,-5.39
UCF,CUSA,21-12,5.87,105.7,99.9,64.2,0.012,0.68,-5.63
James Madison,CAA,21-12,5.74,108.3,102.6,66.7,0.022,0.85,-1.34
Northern Iowa,MVC,20-14,5.66,109,103.3,59.1,0.003,1.58,2.16
Indiana St. 14,MVC,20-14,5.45,102.8,97.4,65,0.051,3.4,2.76
LIU Brooklyn 15,NEC,27-6,5.43,109.6,104.2,73.3,0.053,-6.02,-5.31
South Dakota St.,Sum,19-12,5.39,115.9,110.5,67.2,-0.084,-4.03,-3.15
Wright St.,Horz,19-14,5.23,105,99.8,61.6,-0.014,1.73,0.72
East Tennessee St.,ASun,24-12,5.16,104.1,98.9,64.3,0.03,-1.94,7.93
Arkansas,SEC,18-13,5.15,106.2,101,66,0.004,0.19,-10.48
Montana,BSky,21-11,5.04,101.8,96.8,62.7,0.008,-1.98,2.65
Buffalo,MAC,20-14,4.92,104,99.1,65.7,-0.078,-2.12,-2.6
Santa Clara,WCC,24-14,4.59,107.9,103.3,66.9,0.051,0.5,-3.31
Akron 15,MAC,23-13,4.09,103.7,99.6,65.9,0.043,-1.7,-0.43
Northern Colorado 15,BSky,21-11,4.05,106.3,102.2,66.6,0.023,-2.41,2.87
Rhode Island,A10,20-14,4,103.5,99.5,65.8,0.051,1.44,0.77
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Texas Tech,B12,13-19,3.83,107.2,103.4,69.3,-0.041,5.87,-5.01
IUPUI,Sum,19-14,3.77,111.5,107.7,61.6,0.014,1.1,12.48
Oral Roberts,Sum,19-16,3.75,110.2,106.4,65.8,-0.027,0.42,5.65
Northern Arizona,BSky,19-13,3.59,106,102.4,65,-0.068,-3.38,0.7
Rider,MAAC,23-11,3.51,107,103.5,67.7,0.073,-2.56,-2.64
Air Force,MWC,16-16,3.43,107.2,103.8,61.1,0.021,4.4,-5.72
Saint Louis,A10,19-Dec,3.42,99.5,96,63.3,-0.124,3.2,0.69
South Florida,BE,23-Oct,3.34,103.7,100.4,61.1,-0.019,10.3,1.65
South Carolina,SEC,14-16,3.2,101.2,98,67,0.01,5.82,-4.56
Detroit,Horz,17-16,3.17,107,103.8,69.7,-0.022,1.43,-0.27
UC Santa Barbara 15,BW,18-14,3.15,103.7,100.5,64.1,0.002,0.29,6.12
Mississippi St.,SEC,17-14,3.09,107.5,104.4,66.1,0.061,1.92,-5.51
Hofstra,CAA,21-12,2.89,108.9,106.1,65,0.125,1.05,0.78
Loyola Chicago,Horz,16-15,2.83,105.9,103.1,64.4,-0.064,-1.22,-8.84
Saint Peter's 14,MAAC,20-14,2.73,95.2,92.5,64.1,0.073,0.88,4.62
Arizona St.,P10,19-Dec,2.68,104,101.3,62.6,-0.008,7.28,1.2
Austin Peay,OVC,20-14,2.66,103.6,100.9,66.6,-0.045,-2.58,4.3
Utah,MWC,13-18,2.61,103.6,101,67.2,0.033,7.53,2.64
Furman,SC,22-11,2.44,105.3,102.9,62.8,0.06,-2.59,2.08
Idaho,WAC,18-14,2.25,104.7,102.4,63.9,0.015,-0.72,-4.49
Oklahoma,B12,14-18,2.24,104.7,102.5,64.2,0.025,6.9,-7.29
New Mexico St.,WAC,16-17,2.2,105.5,103.3,66.5,-0.024,2.72,4.05
Davidson,SC,18-15,2.17,105.6,103.4,67.1,-0.036,-1.77,4.45
Pacific,BW,16-15,2.05,105.6,103.6,59.4,-0.061,-0.33,4.82
San Francisco,WCC,19-15,1.99,102.9,100.9,67.3,0.083,2.54,3.05
Ohio,MAC,19-16,1.91,107.4,105.5,67.1,-0.003,-1.76,-1.27
UNC Asheville 16,BSth,20-14,1.91,101.9,100,67.4,-0.011,-3.97,7.07
St. Bonaventure,A10,16-15,1.85,106.6,104.7,62.8,0.029,1.62,-0.17
Robert Morris,NEC,18-14,1.83,103.2,101.4,63.3,0.013,-1.28,9.25
Lipscomb,ASun,17-13,1.56,106.8,105.3,69.3,0.001,-1.86,8.14
East Carolina,CUSA,18-16,1.41,105.3,103.9,65,0.028,2.6,-2.85
Rice,CUSA,14-18,0.88,105.2,104.3,63.5,-0.062,1.6,-1.51
Jacksonville,ASun,20-12,0.82,98.8,98,67.1,0.032,-3.48,0.65
Central Connecticut,NEC,19-12,0.75,100.8,100.1,66,-0.01,-6.22,-5.48
Green Bay,Horz,14-18,0.69,104.5,103.8,64.8,0.009,3.56,4.25
Oregon St.,P10,20-Nov,0.45,102.8,102.3,69.1,-0.044,4.69,-10.09
Nevada,WAC,13-19,0.44,104.3,103.9,66.8,-0.05,1.65,1.68
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
SMU,CUSA,20-15,0.42,103.5,103.1,59.5,-0.019,-2.79,-13.65
North Dakota St.,Sum,14-15,0.4,104.8,104.4,67,-0.133,-2.73,0.8
Hawaii,WAC,19-13,0.4,100.6,100.2,66.9,0.043,-2.2,-9.27
Ball St.,MAC,19-13,0.03,103.4,103.3,63.6,0.028,-4.02,-1.79
Quinnipiac,NEC,22-10,0,104.4,104.4,67.1,0.004,-7.16,-6.25
Western Michigan,MAC,21-13,-0.12,104,104.1,66.8,0.043,-3.98,-0.65
Cal Poly,BW,15-15,-0.13,97.9,98,59.6,-0.001,-2.17,0.78
Evansville,MVC,16-16,-0.15,101.9,102.1,66.2,0.044,2.34,1.02
Weber St.,BSky,18-14,-0.21,104.1,104.4,64.4,0.01,-1.3,6.42
Boston University 16,AE,21-14,-0.5,103.4,103.9,62.6,0.045,-4.62,0.49
TCU,MWC,22-Nov,-0.54,102.4,102.9,65.9,-0.075,4.32,-3.55
La Salle,A10,15-18,-0.61,106.7,107.3,70.9,0.009,1.21,-3.97
American,Pat,22-9,-0.64,104.1,104.7,60.3,0.128,-6.21,-3.55
North Texas,SB,22-11,-0.72,109,109.8,67.1,0.044,-7.26,-6.67
George Washington,A10,17-14,-0.73,101.3,102,63.6,0.073,-0.85,-5.42
IPFW,Sum,18-12,-0.87,105.8,106.7,65,0.024,-4.85,-8.06
Fresno St.,WAC,14-17,-0.97,101.9,102.9,65.5,-0.033,0.03,-2.83
San Jose St.,WAC,17-16,-1.2,105.1,106.3,66.2,0.054,-0.17,-5.52
Sam Houston St.,Slnd,18-13,-1.29,103.1,104.4,65.3,-0.03,-5.21,4.05
Massachusetts,A10,15-15,-1.32,98.4,99.7,66.5,0.044,0.94,-1.9
Loyola MD,MAAC,15-15,-1.53,103.4,105,64.8,-0.025,-3.42,-4.01
Yale,Ivy,15-13,-1.6,99.5,101.1,65.7,0.033,-1.94,-1.11
Canisius,MAAC,15-15,-1.61,103,104.6,64.7,-0.031,-3.72,-4.79
Western Carolina,SC,18-15,-1.81,98.7,100.5,68.1,0.044,-2.73,3.51
Penn,Ivy,13-15,-1.88,101.8,103.7,63.3,0.007,-1.09,0.67
Saint Joseph's,A10,22-Nov,-2.07,106.1,108.2,62.8,0.02,4.76,4.65
Miami OH,MAC,16-17,-2.11,105.5,107.6,62.5,0.119,3.35,11.75
Middle Tennessee,SB,16-16,-2.19,98.5,100.7,65.6,-0.071,-6.03,-2.45
Lehigh,Pat,16-15,-2.2,102.7,104.9,69.9,-0.029,-5.22,-3.96
Tulane,CUSA,13-17,-2.34,102.4,104.7,64.7,-0.125,-0.91,-13.09
Cornell,Ivy,18-Oct,-2.42,105.2,107.6,65.1,-0.07,-0.58,1.44
Bradley,MVC,20-Dec,-2.45,101.3,103.7,65.7,-0.033,0.67,-4.11
Northeastern,CAA,20-Nov,-2.59,108.8,111.4,62.6,0.023,2.43,2.39
Arkansas St.,SB,17-15,-2.73,100.9,103.6,64.1,0.002,-3.81,2.06
Delaware,CAA,14-17,-3.1,100.4,103.5,63.4,0.059,1.83,0.09
DePaul,BE,24-Jul,-3.28,103.1,106.4,68.3,-0.043,8.56,-5.78
Loyola Marymount,WCC,21-Nov,-3.32,102.1,105.4,66.2,-0.1,0.31,-3.35
VMI,BSth,18-13,-3.34,110.6,113.9,74.7,-0.016,-5.88,-1.83
Maine,AE,15-15,-3.46,104.8,108.2,64.7,-0.056,-6.52,-1.6
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Drake,MVC,13-18,-3.5,101.4,104.9,64.5,-0.01,0.41,-3.32
Mercer,ASun,15-18,-3.67,101.1,104.8,65.3,-0.001,-2.52,1.72
Siena,MAAC,13-18,-3.77,99.1,102.9,67.9,-0.005,-1.29,1.8
UNC Wilmington,CAA,13-18,-3.82,102,105.9,61.8,0.002,-1.09,-5.44
St. Francis NY,NEC,15-15,-3.84,98.9,102.7,65.9,-0.016,-5.52,-5.89
Charlotte,A10,20-Oct,-4.04,101.5,105.5,63.7,-0.009,2.41,-0.73
Hampton 16,MEAC,24-9,-4.21,94.4,98.7,66.1,0.108,-10.7,-4.84
Stephen F. Austin,Slnd,18-11,-4.26,96.6,100.9,59,-0.039,-9.22,-11.54
Tennessee Tech,OVC,20-13,-4.36,100.9,105.2,69.8,0.058,-5.75,-7.36
Charleston Southern,BSth,16-16,-4.37,102.9,107.2,65.9,-0.06,-3.98,2.44
Appalachian St.,SC,16-15,-4.38,104.7,109,66,0.044,-2.32,5.92
Southern Illinois,MVC,13-19,-4.39,97,101.4,63.2,0.034,0.74,-3.32
Columbia,Ivy,15-13,-4.5,101.3,105.8,66.8,0.038,-4.03,-6.31
Arkansas Little Rock 16,SB,19-17,-4.53,101.1,105.6,64.1,0.032,-3.85,0.85
Western Kentucky,SB,16-16,-4.57,100.5,105.1,66.8,0.019,-4.3,1.98
Georgia St.,CAA,19-Dec,-4.58,94.9,99.5,63.7,-0.031,-1.79,-10.82
UC Irvine,BW,13-19,-4.62,102.6,107.2,69.8,-0.048,-3.16,-4.04
Denver,SB,13-17,-4.7,100,104.7,56.2,-0.056,-4.78,-0.33
North Florida,ASun,15-19,-4.79,99.7,104.5,65.3,0.087,1.43,14.8
Winthrop,BSth,13-17,-4.85,96.3,101.1,64.9,-0.04,-3.02,5.41
Houston,CUSA,18-Dec,-5.04,101.4,106.4,65.5,0.006,-0.24,-7.66
Cal St. Northridge,BW,14-18,-5.08,100.6,105.7,67.7,0.002,-1.57,0.95
Pepperdine,WCC,21-Dec,-5.09,104.6,109.7,65.4,0.006,1.44,0.52
Lafayette,Pat,13-19,-5.21,103,108.2,64.4,-0.031,-2.94,-0.81
William & Mary,CAA,22-Oct,-5.31,103,108.3,62.9,-0.056,1.74,-2.65
UTSA 16,Slnd,20-14,-5.32,101.8,107.1,66.7,0.085,-5.71,-1.85
Holy Cross,Pat,21-Aug,-5.32,101.6,106.9,64.7,-0.15,-3.63,-0.37
Wyoming,MWC,21-Oct,-5.4,98.5,103.9,66,-0.056,3.73,-6.78
Wagner,NEC,13-17,-5.41,100.4,105.9,66.3,0.028,-2,3.17
Liberty,BSth,19-13,-5.52,97.6,103.1,64.6,0.087,-5.11,1.22
LSU,SEC,21-Nov,-5.68,95.6,101.2,64.7,-0.055,1.09,-8.78
Stony Brook,AE,15-17,-5.69,93.7,99.4,62.3,-0.037,-6.61,-4.63
Auburn,SEC,20-Nov,-5.75,96.9,102.7,64.4,0.002,0.66,-11.7
Nicholls St.,Slnd,14-14,-5.82,97.2,103,59.9,-0.051,-4.82,8.48
Louisiana Lafayette,SB,14-15,-6,98.7,104.7,67.7,0.031,-4.75,-0.21
Illinois St.,MVC,19-Dec,-6.01,96.4,102.5,62.3,-0.008,-2.12,-10.49
Brown,Ivy,17-Nov,-6.48,102.9,109.4,68,-0.028,-3.05,-4.38
Eastern Kentucky,OVC,15-16,-6.56,102.3,108.9,60.8,-0.026,-6.28,-5.24
Elon,SC,14-17,-6.6,104.3,110.9,67.1,-0.015,-3.4,3.76
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Tennessee St.,OVC,14-16,-6.71,102.1,108.8,64.1,0.022,-3.82,2.92
Bowling Green,MAC,14-19,-6.76,97.8,104.5,64.1,0.018,-2.7,-2.59
Albany,AE,16-16,-6.86,101.7,108.6,59.9,0.025,-5.94,-2.14
Lamar,Slnd,13-17,-6.91,100.3,107.2,73.4,-0.126,-6.5,-1.25
Louisiana Tech,WAC,20-Dec,-7.06,95.6,102.7,65.4,-0.006,-1.32,-6.06
UC Davis,BW,20-Oct,-7.08,102.8,109.9,66.4,-0.094,-1.84,-0.44
Morgan St.,MEAC,17-14,-7.3,94.8,102.1,65.5,0.042,-9.71,0.61
Campbell,ASun,19-Dec,-7.71,97.8,105.5,64,-0.06,-4.72,-5.61
Mount St. Mary's,NEC,21-Nov,-7.75,94.9,102.6,64,-0.019,-2.05,2.88
Montana St.,BSky,13-18,-7.8,100.2,108,64.3,0.005,-2.72,-0.63
Texas St.,Slnd,16-16,-7.96,100.3,108.3,72.9,0.036,-7.32,-4.9
Youngstown St.,Horz,21-Sep,-7.96,100,108,68.5,-0.023,1.98,-3.92
Presbyterian,BSth,13-18,-7.99,101.5,109.5,59,0.047,-1.7,6.3
Illinois Chicago,Horz,24-Jul,-7.99,96.5,104.5,64.2,-0.041,2.95,-0.01
Utah Valley,GWC,19-11,-8.02,100.8,108.8,65.3,0.011,-12.11,-4.53
UT Arlington,Slnd,13-16,-8.13,96.7,104.8,67.1,-0.072,-5.79,0.33
Southeastern Louisiana,Slnd,15-14,-8.49,98.8,107.3,64.6,0.066,-5.74,4.63
Cal St. Fullerton,BW,20-Nov,-8.53,104.8,113.3,67.5,0.018,-3.02,-3.29
Wake Forest,ACC,24-Aug,-8.64,100.4,109,68.9,0.009,4.92,-6.27
Southern Utah,Sum,19-Nov,-8.93,100.6,109.5,66.3,-0.013,-3.05,-4.27
Northwestern St.,Slnd,18-14,-8.98,101.1,110.1,71.1,0.101,-8.15,-6.16
Eastern Washington,BSky,20-Oct,-9.04,99.1,108.1,63.7,-0.031,-2.02,1.97
Savannah St.,ind,18-Dec,-9.14,91.1,100.3,62,0.03,-0.26,2.11
Sacred Heart,NEC,18-Nov,-9.35,99.2,108.6,65.4,-0.013,-5.38,-2.67
UC Riverside,BW,19-Dec,-9.36,97.8,107.2,64.8,0.062,-1,0.76
Chattanooga,SC,16-16,-9.36,99.1,108.5,68.1,0.135,-2.41,1.73
Portland St.,BSky,14-16,-9.51,104.2,113.7,66.8,0.064,-5.54,-6.28
Coppin St.,MEAC,16-14,-9.6,98.5,108,68.2,0.023,-10.64,3.82
Seattle,ind,20-Nov,-9.7,92.9,102.6,71.9,0.047,-2.78,-2.51
Gardner Webb,BSth,21-Nov,-9.79,95.2,105,63.3,-0.016,-1.31,6.82
UMKC,Sum,16-14,-9.79,101.9,111.6,63.8,0.114,-4.96,-9.93
Navy,Pat,20-Nov,-9.84,93.2,103,69.4,-0.039,-5,-5.12
Central Michigan,MAC,21-Oct,-10.04,92,102,63.1,-0.006,-2.66,-0.6
Northern Illinois,MAC,21-Sep,-10.09,99.1,109.2,67.5,-0.03,-2.83,0.48
Troy,SB,21-Aug,-10.19,97.8,108,70.2,-0.038,-2.04,6.07
Jackson St.,SWAC,17-15,-10.49,95.7,106.1,63.2,-0.002,-12.38,7.49
Towson,CAA,26-Apr,-10.51,105.8,116.3,65.1,-0.069,0.39,-3.58
Army,Pat,19-Nov,-10.54,99.5,110,66.9,-0.03,-5.08,-5.92
St. Francis PA,NEC,21-Sep,-10.57,99.6,110.1,64.9,-0.016,-2.3,2.79
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Monmouth,NEC,21-Sep,-10.57,94.5,105.1,62.6,-0.028,-4.34,-0.74
The Citadel,SC,22-Oct,-10.61,100.9,111.6,61.9,-0.055,-2.08,1.31
Eastern Michigan,MAC,22-Sep,-10.75,89.5,100.3,66.1,-0.107,-3.28,-1.76
UNC Greensboro,SC,24-Jul,-10.86,99.6,110.4,69.5,-0.031,-0.32,10.16
Florida Gulf Coast,ASun,20-Oct,-11.11,94.7,105.8,67.5,-0.001,-3.74,-1.99
FIU,SB,19-Nov,-11.24,100.6,111.9,68.4,-0.013,-5.59,-2.98
New Hampshire,AE,18-Dec,-11.39,91.2,102.6,61.7,0.03,-5.94,-2.71
South Dakota,GWC,18-15,-11.46,100.1,111.5,70.9,-0.031,-13.32,-7.07
Hartford,AE,20-Nov,-11.68,92.8,104.5,63,-0.011,-5.69,-1.34
Fordham,A10,21-Jul,-11.72,98,109.8,66.2,0.013,1.2,-5.56
Jacksonville St.,OVC,25-May,-12.2,95.9,108.1,61.4,-0.078,-4.39,-2.24
North Carolina A&T,MEAC,15-17,-12.29,99.1,111.4,67.8,0.048,-7.19,5.3
San Diego,WCC,24-Jun,-12.3,92.9,105.2,63.6,-0.029,2.85,1.88
South Alabama,SB,16-Dec,-12.45,99.8,112.2,66.9,0.041,-6.01,-3.69
Southeast Missouri St.,OVC,22-Oct,-12.51,97.8,110.3,66.1,-0.02,-4.81,-3.85
Tennessee Martin,OVC,21-Dec,-12.6,97.5,110.1,68,-0.002,-4.7,-2.92
Norfolk St.,MEAC,20-Dec,-12.65,97.1,109.8,68.7,-0.009,-7.81,3.08
North Dakota,GWC,19-15,-12.82,92.7,105.5,66.6,0.094,-10.41,-1.07
Stetson,ASun,23-Aug,-12.94,96.8,109.7,65.1,0.007,-2.74,0.32
Niagara,MAAC,23-Sep,-13.02,92.2,105.2,67.1,0.021,-2.3,-1.38
Idaho St.,BSky,20-Sep,-13.06,98.4,111.4,63.9,-0.002,-1.47,3.93
Alabama St. 16,SWAC,17-18,-13.19,92.8,106,63.6,0.032,-11.26,6.29
Eastern Illinois,OVC,20-Sep,-13.32,93.1,106.4,62.7,-0.016,-4.11,-1.13
Bryant,NEC,21-Sep,-13.81,100.5,114.3,64.7,0.033,-1.74,5.04
Delaware St.,MEAC,21-Sep,-13.99,99.1,113.1,59.4,-0.063,-5.88,9.37
Cal St. Bakersfield,ind,19-Sep,-14.32,97.1,111.4,67.3,0.038,-3.82,-2.87
High Point,BSth,19-Dec,-14.43,94.5,109,66.8,0.084,-4.06,-0.66
Mississippi Valley St.,SWAC,13-19,-14.44,93.8,108.3,71.3,0.036,-9.18,13.46
NJIT,GWC,15-15,-14.44,92.9,107.3,65.5,0.017,-11.33,-2.74
Samford,SC,19-Dec,-14.5,96.4,110.9,59.8,0.075,-4.12,-4.05
Manhattan,MAAC,25-Jun,-14.69,96.4,111.1,62.4,0.026,-1.5,-0.38
North Carolina Central,ind,15-15,-15.03,96,111,65.6,0.088,-9.19,-9.01
Colgate,Pat,23-Jul,-15.36,97.2,112.5,66,-0.029,-4.39,-4.71
Binghamton,AE,23-Aug,-15.89,97.7,113.6,61.6,-0.04,-4.82,-0.26
Texas A&M Corpus Chris,Slnd,21-Oct,-16.12,92.9,109.1,64.5,0.043,-2.74,5.68
Kennesaw St.,ASun,23-Aug,-16.36,98.5,114.9,63.6,0,-3.09,-3.39
Longwood,ind,19-Dec,-16.42,102.2,118.6,69.9,0.027,-4.86,-2.28
USC Upstate,ASun,25-May,-16.44,92.6,109.1,63,0.016,0.14,8.13
Sacramento St.,BSky,21-Jul,-16.49,93.5,109.9,63.3,-0.028,-3.81,-3.31
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Dartmouth,Ivy,23-May,-16.61,90.8,107.4,65.2,-0.014,-1.34,-2.18
Marist,MAAC,27-Jun,-16.63,94.8,111.4,64.8,0.008,-0.67,1.21
Alabama A&M,SWAC,13-15,-16.65,87,103.7,69.7,-0.001,-13.88,10.19
Fairleigh Dickinson,NEC,24-May,-16.66,93.2,109.8,66.1,-0.025,-4.81,-2.32
Florida A&M,MEAC,20-Dec,-18.59,88.5,107.1,66.4,0.006,-9.83,1.52
Louisiana Monroe,SB,24-Jul,-18.99,94.5,113.5,61.9,-0.023,-4.09,-1.33
South Carolina St.,MEAC,22-Oct,-19.21,91.7,110.9,66.3,-0.05,-9.9,-1.07
Georgia Southern,SC,27-May,-19.33,89.7,109,66,-0.064,-3.06,-3.02
Grambling St.,SWAC,21-Dec,-19.64,87.4,107,66.1,0.045,-11.81,3.12
Western Illinois,Sum,23-Jul,-20.01,87.6,107.6,61.2,0.003,-3.54,-5.71
Radford,BSth,24-May,-20.27,86.7,107,66.5,0.008,-1.58,8.34
Toledo,MAC,28-Apr,-20.65,91.9,112.6,62.8,-0.037,-1.21,1.83
Texas Pan American,GWC,25-Jun,-20.94,94.1,115,64.8,-0.075,-7.18,1.68
