Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Green Bay,Horz,17-11,-0.04,101.7,101.7,63.1,0.105,-0.38,-2.36
Santa Clara,WCC,16-16,-0.13,101.8,102,61.4,0.035,2.02,3.18
Idaho,BW,14-16,-0.31,99.7,100,63.4,-0.01,0.5,5.91
Akron,MAC,13-15,-0.45,106.3,106.7,64.8,-0.019,-0.49,-2.33
Arkansas St.,SB,17-11,-0.47,105.8,106.3,66,-0.017,-4.23,-7.05
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Saint Peter's,MAAC,17-12,-0.51,108.1,108.6,67.8,0.069,-2.35,0.21
Portland,WCC,17-Nov,-0.63,105,105.6,65.9,0.004,3.54,5.83
Bradley,MVC,15-16,-0.69,98.6,99.3,66.8,0.066,1.25,-2.99
Furman,SC,17-12,-0.76,101.6,102.4,66.6,-0.08,-5.34,-7.29
Oakland,MCon,13-17,-0.98,104.3,105.3,69,-0.079,-0.09,7.61
Birmingham Southern,BSth,20-7,-1.1,107.5,108.6,63.5,0.034,-11.72,-9.51
New Orleans,SB,17-14,-1.11,102.6,103.7,64.8,0.085,-0.22,2.96
Mississippi Valley St.,SWAC,22-7,-1.13,99.4,100.5,63.8,0.05,-14.95,-3
Wright St.,Horz,14-14,-1.15,104.2,105.3,63.1,0.048,-0.46,-0.35
Weber St.,BSky,15-14,-1.17,105.9,107,61.7,-0.024,-2.11,1.76
Holy Cross,Pat,13-15,-1.23,96.8,98,63.4,-0.141,-7.92,-1.34
Vermont 15,AE,22-9,-1.37,101,102.4,63.9,0.113,-8.08,-2.5
Centenary,MCon,16-12,-1.53,102.6,104.1,63.7,0.028,-2.52,1.01
San Francisco,WCC,17-14,-1.61,100.1,101.7,65.1,0.138,2.1,1.79
Bowling Green,MAC,14-17,-1.71,104.7,106.4,65.6,-0.025,0.15,-1.64
Southern Miss,CUSA,13-15,-1.72,100.5,102.2,64.1,0.054,3.43,-3.23
Illinois St.,MVC,19-Oct,-1.98,101.4,103.4,61.5,-0.061,3.35,1.49
Denver,SB,14-13,-2.02,103.9,105.9,64.8,0.021,-1.29,-1.3
Cal St. Northridge,BW,14-16,-2.27,99.7,102,68.1,0.001,-0.88,-1.94
Marshall,MAC,17-Dec,-2.44,101.2,103.6,68.2,0.039,2.29,4.01
Liberty 16,BSth,18-15,-2.5,98.3,100.8,67.5,0,-5.73,5.71
Loyola Marymount,WCC,15-14,-2.81,97.4,100.2,66.3,0.074,-0.79,-4.28
La Salle,A10,20-Oct,-3.02,103,106.1,64.1,-0.023,3.36,-2.07
Massachusetts,A10,19-Oct,-3.13,103,106.1,66.5,-0.022,2.04,-2.91
American,Pat,18-13,-3.16,102.7,105.8,63.4,-0.006,-7.56,-1.27
Northern Arizona,BSky,15-14,-3.33,102.1,105.4,69.4,0.017,-3.06,-0.15
South Alabama,SB,16-Dec,-3.39,103.1,106.4,63,-0.039,-0.35,1.36
Ohio,MAC,20-Oct,-3.41,101.2,104.6,64.3,-0.058,-0.14,-1.49
Texas A&M,B12,21-Jul,-3.58,105.6,109.2,66.8,-0.131,4.45,-13.03
Indiana St.,MVC,19-Sep,-3.69,97,100.7,59.9,-0.069,1.72,-2.4
Loyola Chicago,Horz,20-Sep,-3.94,101,104.9,69.8,0.008,2.92,5.5
Southeastern Louisiana,Slnd,20-9,-3.96,101.4,105.3,66.2,0.021,-8.86,-4.27
Iona,MAAC,18-Nov,-3.98,101.6,105.6,69.2,-0.051,-1.75,2.89
Monmouth 15,NEC,21-12,-3.99,98.1,102.1,66,0.112,-6.71,2.53
Yale,Ivy,15-Dec,-4.07,99.7,103.8,62.8,-0.038,-2.41,4.35
UC Riverside,BW,17-Nov,-4.12,101.9,106,64.8,-0.007,-0.2,3.78
Eastern Kentucky,OVC,14-15,-4.18,102.2,106.4,67.2,-0.05,-5.28,-6.6
Northeastern,AE,19-11,-4.26,103,107.3,72.9,0.052,-7.86,1.15
New Mexico St.,SB,13-14,-4.28,98.3,102.6,63.7,-0.015,-1.19,0.08
St. John's,BE,21-Jun,-4.31,98.9,103.2,65,-0.017,7.54,0.34
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Brown,Ivy,14-13,-4.35,101.8,106.2,70.4,0.032,-4.75,-0.93
Morehead St.,OVC,16-13,-4.45,107.1,111.6,66.6,0.082,-2.22,5.12
Sacramento St.,BSky,13-15,-4.57,98.6,103.2,69.2,-0.018,-3.02,0.28
Maine,AE,20-10,-4.57,99,103.5,65.4,0.04,-10.14,-10.69
UT Arlington,Slnd,17-12,-4.64,103.9,108.5,65.4,0.024,-6.83,2.63
Cal Poly,BW,16-Nov,-4.69,101.1,105.8,69.9,-0.015,-0.63,1.88
Bucknell,Pat,14-15,-4.69,96.6,101.3,64.5,-0.115,-6.88,-0.23
Evansville,MVC,22-Jul,-4.76,104.7,109.4,67.5,-0.062,4.39,4.16
UC Irvine,BW,17-Nov,-4.79,101.4,106.2,61.5,0.034,-0.32,1.88
Cal St. Fullerton,BW,17-Nov,-4.85,102.9,107.8,66.5,-0.023,-1.4,-1.22
Portland St.,BSky,16-Nov,-4.9,96.6,101.5,65.3,-0.065,-2.15,2.19
Siena,MAAC,14-16,-5.03,100.7,105.7,67.1,0.034,-2.61,2.24
Appalachian St.,SC,21-Sep,-5.05,95.6,100.7,69.9,-0.088,0.46,6.4
North Texas,SB,13-15,-5.06,101.1,106.2,69,0.025,-2.09,-3.85
Texas A&M Corpus Chris,ind,15-11,-5.13,102.4,107.5,67.6,0.033,-4.41,-2.39
Eastern Michigan,MAC,13-15,-5.17,99.2,104.4,68,-0.031,-0.63,-5.1
South Florida,CUSA,20-Jul,-5.21,99.7,104.9,63.5,-0.044,4.4,0.47
Lafayette,Pat,18-10,-5.28,106.6,111.9,68.2,0.074,-6.81,0.83
South Carolina St.,MEAC,18-11,-5.32,101,106.3,65.5,0.019,-11.89,4.45
Houston,CUSA,18-Sep,-5.5,93.9,99.4,61,0.02,2.28,-2.49
Southeast Missouri St.,OVC,16-Nov,-5.66,107.4,113.1,63.5,-0.048,-2.94,1.45
Montana St.,BSky,14-13,-5.69,97.1,102.8,66,0.01,-5.54,-6.6
Northern Illinois,MAC,20-Oct,-5.89,100.6,106.5,64.5,-0.069,-0.01,0.8
Rider,MAAC,17-14,-6.17,100,106.1,63.8,0.095,-5.34,-6.68
Tulane,CUSA,17-Nov,-6.21,97.8,104,66.8,0.009,1.41,-12.62
Fairleigh Dickinson,NEC,17-12,-6.23,100.1,106.3,64.1,0.049,-8.86,-2.01
Penn St.,B10,19-Sep,-6.35,97.2,103.5,62.8,0.055,5.91,-0.78
Winthrop,BSth,16-12,-6.36,99.8,106.2,62.8,0.017,-8.63,1.36
UNC Greensboro,SC,17-Nov,-6.52,102.2,108.7,67,-0.036,-3.08,0.08
Central Connecticut,NEC,14-14,-6.53,101.9,108.4,64.2,-0.041,-9.42,-5.74
Cornell,Ivy,16-Nov,-6.57,100.1,106.7,68.3,-0.096,-6.04,-4.15
Baylor,B12,21-Aug,-6.63,102,108.7,61,0.007,4.01,-9.5
William & Mary,CAA,21-Jul,-6.66,105.4,112,67.7,-0.094,-0.15,-0.5
Chicago St.,MCon,20-Dec,-6.66,101.7,108.4,63.2,0.054,1.55,8.85
Canisius,MAAC,20-Oct,-6.68,100.5,107.2,66.4,-0.026,-2.28,0.71
Tennessee Tech,OVC,13-15,-6.76,104.2,111,67.7,0.002,-2.62,2.27
Western Carolina,SC,13-15,-6.88,98,104.9,67.9,-0.028,-2.48,-1.13
McNeese St.,Slnd,16-Nov,-6.92,99.5,106.4,71.1,-0.076,-4.08,8.24
Jacksonville St.,OVC,14-14,-6.96,104.8,111.7,67.3,-0.026,-7.68,-13.61
Lehigh 16,Pat,20-11,-7.01,97.7,104.7,63.4,0.055,-11.5,-9.88
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Coppin St.,MEAC,18-14,-7.05,95,102,61.7,0.041,-10,5.49
Coastal Carolina,BSth,14-15,-7.11,98.4,105.5,66.6,-0.06,-8.13,0.53
San Jose St.,WAC,23-Jun,-7.14,99.2,106.3,60.9,-0.062,3.89,-6.68
St. Francis NY,NEC,15-13,-7.22,98,105.2,68.6,-0.015,-10.16,-8.4
Florida Atlantic,ASun,19-Sep,-7.28,99.9,107.2,71.1,-0.187,-5.93,-3.27
Montana,BSky,18-Oct,-7.28,99,106.3,67.3,-0.013,-0.97,5.61
Mercer,ASun,18-Dec,-7.29,103,110.3,67.2,0.009,-1.91,11.29
UTSA 16,Slnd,19-14,-7.69,98,105.7,68.7,0.103,-7.71,-5.14
Youngstown St.,Horz,20-Aug,-8.13,97.6,105.8,67.3,0.004,1.77,2.03
Texas Pan American,ind,14-14,-8.19,95.3,103.5,68,0.061,-2.31,-0.69
Delaware St.,MEAC,13-15,-8.46,99.9,108.4,58.7,-0.013,-8.31,12.46
Elon,SC,18-Dec,-8.69,99,107.7,65.4,0.012,-2.08,2.94
Tennessee Martin,OVC,18-Oct,-8.87,99.6,108.5,68.9,-0.045,-1.94,4.72
St. Bonaventure,A10,21-Jul,-8.95,100.8,109.7,69.1,0.037,5.56,2.66
High Point,BSth,19-11,-9.19,97.9,107.1,69.3,0.107,-9.52,-1.14
Florida A&M 16,MEAC,15-17,-9.35,98.9,108.3,70.9,0.005,-9.84,1.67
Samford,OVC,16-Dec,-9.45,98.9,108.3,58.8,0.03,-0.58,11.4
Texas St.,Slnd,13-15,-9.46,101.7,111.2,63,-0.04,-6.72,3.38
Northwestern St.,Slnd,17-Nov,-9.61,95.7,105.3,72.5,-0.057,-4.61,6.66
Binghamton,AE,14-16,-9.69,91.4,101.1,63.9,0.037,-7.82,-4.27
Southern Utah,MCon,18-Oct,-9.85,100.7,110.5,62.5,-0.004,-0.34,4.79
Fordham,A10,22-Jun,-9.91,96.5,106.4,66.4,0.014,5.59,3.6
Idaho St.,BSky,13-18,-10.15,101.5,111.6,69.4,0.093,-1.87,1.96
James Madison,CAA,21-Jul,-10.19,99.8,110,64.3,-0.005,-0.46,-4.28
Tennessee St.,OVC,21-Jul,-10.29,103.6,113.9,66.3,-0.051,-0.74,7.82
Alabama St. 16,SWAC,16-15,-10.72,93.8,104.5,61.4,0.023,-12.06,0.53
