,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
33,Wisconsin ,B10,16.55,110.1,93.6,63.3,-0.022,9.57,1.24,7,22,13,0.6285714285714286
34,Texas ,B12,16.19,113,96.8,65.3,0.022,12.54,5.55,6,20,13,0.6060606060606061
35,Stephen F. Austin ,Slnd,15.62,112.2,96.6,67.3,0.007,-5.88,4.79,14,28,6,0.8235294117647058
36,Saint Joseph's ,A10,15.37,114.3,98.9,70.2,0.03,4.66,1.97,8,28,8,0.7777777777777778
37,Providence ,BE,14.49,110,95.5,68.4,0.062,8.93,-3.13,9,24,11,0.6857142857142857
38,Yale ,Ivy,14.33,110.4,96,66,0.026,-0.85,-1.0,12,23,7,0.7666666666666667
39,USC ,P12,14.25,113.9,99.7,71,-0.028,7.61,-1.65,8,21,13,0.6176470588235294
40,Michigan ,B10,14.15,114.6,100.5,65.8,0.013,8.96,-2.15,11,23,13,0.6388888888888888
41,Texas Tech ,B12,13.78,113.2,99.4,66,0.028,10.66,0.62,8,19,13,0.59375
42,Arkansas Little Rock ,SB,13.24,109.2,96,63.4,0.056,-0.77,-0.2,12,30,5,0.8571428571428571
43,Colorado ,P12,12.91,108.8,95.9,69,0.015,7.51,-2.15,8,22,12,0.6470588235294118
44,Dayton ,A10,12.63,106.6,94,67.8,0.082,3.89,2.58,7,25,8,0.7575757575757576
45,Hawaii ,BW,12.16,108.2,96.1,70.6,0.013,-2.32,-8.92,13,28,6,0.8235294117647058
46,Oregon St. ,P12,11.65,110.7,99.1,67.1,0.043,9.61,0.46,7,19,13,0.59375
47,Tulsa ,Amer,11.5,111.2,99.7,68.4,-0.003,5.54,1.46,11,20,12,0.625
48,Northern Iowa ,MVC,11.13,109.6,98.5,62.9,0.013,4.8,7.57,11,23,13,0.6388888888888888
49,South Dakota St. ,Sum,9.57,111.4,101.8,68.3,0.004,-0.23,1.91,12,26,8,0.7647058823529411
50,UNC Wilmington ,CAA,9.21,110.7,101.5,70.3,0.033,0.85,-3.9,13,25,8,0.7575757575757576
51,Temple ,Amer,8.82,107,98.1,65.9,0.095,6.33,3.7,10,21,12,0.6363636363636364
52,Stony Brook ,AE,8.13,107.3,99.1,67.2,0.049,-5.6,4.38,13,26,7,0.7878787878787878
53,Iona ,MAAC,7.13,110.5,103.4,71.9,-0.005,-1.78,5.71,13,22,11,0.6666666666666666
54,Fresno St. ,MWC,6.63,107.4,100.8,69,0.085,1.65,-2.89,14,25,10,0.7142857142857143
55,Chattanooga ,SC,6.5,107.5,101,66.3,0.132,-3.18,-0.04,12,29,6,0.8285714285714286
56,Cal St. Bakersfield ,WAC,6.26,104,97.8,67.6,-0.003,-6.5,-2.99,15,24,9,0.7272727272727273
57,Middle Tennessee ,CUSA,4.76,104.6,99.9,67.6,0.088,-0.58,2.11,15,25,10,0.7142857142857143
58,Green Bay ,Horz,3.74,108.3,104.6,76.2,0.057,0.11,1.92,14,23,13,0.6388888888888888
59,UNC Asheville ,BSth,3.44,103.6,100.1,70.1,-0.008,-4.12,2.64,15,22,12,0.6470588235294118
60,Buffalo ,MAC,2.95,105.9,102.9,72.1,0.044,0.97,2.0,14,20,15,0.5714285714285714
61,Weber St. ,BSky,2.45,103.4,100.9,66.8,0.019,-5.67,1.16,15,26,9,0.7428571428571429
62,Florida Gulf Coast ,ASun,-0.08,103.6,103.7,67,-0.038,-5.83,-1.87,16,21,14,0.6
63,Austin Peay ,OVC,-5.1,104.5,109.6,69.5,0.061,-2.92,-0.19,16,18,18,0.5
64,Southern ,SWAC,-5.75,100.5,106.3,68.9,0.04,-8.52,3.49,16,22,13,0.6285714285714286
65,Hampton ,MEAC,-7.4,99.8,107.2,71.2,0.157,-9.75,1.91,16,21,11,0.65625
66,Fairleigh Dickinson ,NEC,-10.63,104.4,115,71.5,0.097,-9.44,-0.17,16,18,15,0.5454545454545454
67,Holy Cross ,Pat,-11.39,97.1,108.5,63.6,0.065,-6.09,-6.27,16,15,20,0.42857142857142855
