,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
19,Nevada ,WAC,20.27,112.3,92,68.7,-0.039,7.09,4.97,10,25,9,0.7352941176470589
20,Xavier ,A10,20.16,113.8,93.6,64.1,-0.022,7.19,2.75,7,26,11,0.7027027027027027
21,Maryland ,ACC,19.81,110.9,91.1,71.1,-0.009,14.09,-1.13,4,20,12,0.625
22,Vanderbilt ,SEC,18.64,113.6,95,65,-0.002,7.87,-6.57,6,23,10,0.696969696969697
23,Providence ,BE,18.32,112.3,93.9,65,0.003,8.8,4.05,5,20,9,0.6896551724137931
24,Florida ,SEC,18.26,116.9,98.6,65.9,-0.023,9.6,0.08,5,20,11,0.6451612903225806
25,Seton Hall ,BE,17.35,112.3,95,65.4,-0.004,7.85,-1.14,8,21,10,0.6774193548387096
26,Texas Tech ,B12,17.11,111.4,94.3,66.7,0.01,8.29,2.29,8,23,11,0.6764705882352942
27,Alabama ,SEC,16.5,114.7,98.2,64.7,0.004,11.2,6.59,8,20,13,0.6060606060606061
28,Syracuse ,BE,16.34,113.1,96.7,65.7,0.086,7.88,-4.61,5,23,8,0.7419354838709677
29,Western Michigan ,MAC,16.29,114.3,98,65.6,0.037,-0.63,-1.21,11,26,5,0.8387096774193549
30,Arizona ,P10,16.18,118.5,102.3,73,-0.072,5.72,4.6,9,20,10,0.6666666666666666
31,Memphis ,CUSA,16.17,111.8,95.6,66.6,0.012,5.55,1.83,7,22,8,0.7333333333333333
32,Michigan St. ,B10,15.66,117.2,101.5,64,-0.014,8.92,7.6,7,18,12,0.6
33,BYU ,MWC,15.64,113,97.4,65.9,0.02,7.13,6.41,12,21,9,0.7
34,Air Force ,MWC,15.42,111.4,96,51.9,0.025,0.58,-10.49,11,22,7,0.7586206896551724
35,Boston College ,BE,15.42,110.5,95.1,62.6,0.045,7.21,-2.14,6,24,10,0.7058823529411765
36,Richmond ,A10,15.07,105.9,90.9,62.7,-0.06,6.95,7.66,11,20,13,0.6060606060606061
37,South Carolina ,SEC,15.02,109.7,94.7,65.5,0,6.15,-8.05,10,23,11,0.6764705882352942
38,UTEP ,WAC,14.69,112.5,97.8,68.2,0.046,4.31,-6.38,13,24,8,0.75
39,Southern Illinois ,MVC,14.33,109.1,94.8,65.2,0.046,2.54,2.25,9,25,5,0.8333333333333334
40,Charlotte ,CUSA,14.25,112.7,98.5,69.7,0.015,5.72,2.66,9,21,9,0.7
41,Utah ,MWC,14.13,110.1,96,58.8,0.064,4.45,-0.97,11,24,9,0.7272727272727273
42,UAB ,CUSA,13.63,108.1,94.5,70.7,0.019,5.34,1.6,9,22,10,0.6875
43,Manhattan ,MAAC,13.38,109.1,95.7,65,0.012,-1.77,1.31,12,25,6,0.8064516129032258
44,DePaul ,CUSA,11.36,113,101.6,63.2,0.091,5.83,-0.62,7,22,10,0.6875
45,Washington ,P10,10.78,113.1,102.3,73.5,0.031,6.16,2.14,8,19,12,0.6129032258064516
46,Murray St. ,OVC,10.62,110.5,99.9,68.7,0.064,-3.8,1.25,12,28,6,0.8235294117647058
47,Illinois Chicago ,Horz,10.39,107.5,97.1,64.6,0.037,-0.52,-2.97,13,24,8,0.75
48,Louisiana Lafayette ,SB,10.23,109.2,99,69.1,0.006,0.84,10.92,14,20,9,0.6896551724137931
49,Dayton ,A10,9.75,108.1,98.4,62.2,0.084,3.26,-1.55,10,24,9,0.7272727272727273
50,VCU ,CAA,9.09,105.6,96.5,64.4,0.076,-0.29,0.29,13,23,8,0.7419354838709677
51,Pacific ,BW,8.93,108.6,99.7,63.6,0.096,0.28,3.56,12,25,8,0.7575757575757576
52,Northern Iowa ,MVC,8.78,107.4,98.6,64.8,0.022,2.45,-1.91,14,21,10,0.6774193548387096
53,East Tennessee St. ,SC,8.6,104.4,95.8,73.2,0.016,-2.39,0.64,13,27,6,0.8181818181818182
54,UCF ,ASun,5.91,103.3,97.4,62.6,0.087,-5.87,-3.79,14,25,6,0.8064516129032258
55,Princeton ,Ivy,4.86,106.3,101.4,56.4,0.033,-4.32,-0.07,14,20,8,0.7142857142857143
56,Eastern Washington ,BSky,3.09,105.4,102.3,64.5,0.014,-0.25,7.22,15,17,13,0.5666666666666667
57,Valparaiso ,MCon,0.53,100.1,99.6,69.2,0.068,-1.31,0.85,15,18,13,0.5806451612903226
58,Vermont ,AE,-1.37,101,102.4,63.9,0.113,-8.08,-2.5,15,22,9,0.7096774193548387
59,Liberty ,BSth,-2.5,98.3,100.8,67.5,0,-5.73,5.71,16,18,15,0.5454545454545454
60,Monmouth ,NEC,-3.99,98.1,102.1,66,0.112,-6.71,2.53,15,21,12,0.6363636363636364
61,Lehigh ,Pat,-7.01,97.7,104.7,63.4,0.055,-11.5,-9.88,16,20,11,0.6451612903225806
62,UTSA ,Slnd,-7.69,98,105.7,68.7,0.103,-7.71,-5.14,16,19,14,0.5757575757575758
63,Florida A&M ,MEAC,-9.35,98.9,108.3,70.9,0.005,-9.84,1.67,16,15,17,0.46875
64,Alabama St. ,SWAC,-10.72,93.8,104.5,61.4,0.023,-12.06,0.53,16,16,15,0.5161290322580645
