,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
27,Creighton ,MVC,16.47,119.2,102.7,65.9,0.079,3.79,-0.47,8,29,6,0.828571429
28,California ,P12,16.37,111.3,94.9,65.7,-0.007,3.61,-1.83,12,24,10,0.705882353
29,Purdue ,B10,16.25,116.2,99.9,64.3,-0.003,8.81,-2.64,10,22,13,0.628571429
30,Cincinnati ,BE,16.03,109.5,93.5,62.9,0.023,6.9,-9.17,6,26,11,0.702702703
31,Texas ,B12,15.9,112.9,97,64.9,-0.065,8.45,-1.52,11,20,14,0.588235294
32,Virginia ,ACC,15.85,105.2,89.3,59.3,-0.024,4.05,-5.7,10,22,10,0.6875
33,Saint Mary's ,WCC,15.48,114.3,98.8,63.4,0.036,0.17,-2.17,7,27,6,0.818181818
34,Murray St. ,OVC,15.34,108.5,93.2,65,0.031,-2.34,3.63,6,31,2,0.939393939
35,Long Beach St. ,BW,15.27,111.7,96.4,66.4,-0.047,1.25,14.84,12,25,9,0.735294118
36,UNLV ,MWC,14.97,109.2,94.2,68.7,0.006,3.54,-0.24,6,26,9,0.742857143
37,Connecticut ,BE,14.53,111.3,96.8,63,-0.032,8.25,-0.46,9,20,14,0.588235294
38,Temple ,A10,14.49,113.3,98.9,65.9,0.055,6.1,6.2,5,24,8,0.75
39,Harvard ,Ivy,14.34,108.8,94.4,60.7,0.027,-0.87,0.65,12,26,5,0.838709677
40,Notre Dame ,BE,14.22,110.9,96.7,60.2,0.032,6.94,-4.28,7,22,12,0.647058824
41,North Carolina St. ,ACC,14.22,112.1,97.9,67,-0.004,6.22,1.18,11,24,13,0.648648649
42,West Virginia ,BE,13.56,111.4,97.9,64,-0.019,8.32,2.04,10,19,14,0.575757576
43,VCU ,CAA,13.45,106.9,93.5,65,0.024,0.53,1.9,12,29,7,0.805555556
44,South Florida ,BE,13.13,103.9,90.8,58.5,0.04,8.17,1.27,12,22,14,0.611111111
45,BYU ,WCC,12.79,106.3,93.5,72.6,0.02,1.31,0.38,14,26,9,0.742857143
46,Xavier ,A10,12.59,108.7,96.1,66.4,0.031,7.24,4.56,10,23,13,0.638888889
47,Iona ,MAAC,12.26,115.5,103.2,70,-0.011,-1.04,4.87,14,25,8,0.757575758
48,Ohio ,MAC,11.88,106.6,94.7,66,0.022,0.8,-2.97,13,29,8,0.783783784
49,St. Bonaventure ,A10,11.78,110.6,98.9,63,-0.024,3.83,0.1,14,20,12,0.625
50,South Dakota St. ,Sum,11.62,113.7,102.1,64.8,0.03,-1.92,2.04,14,27,8,0.771428571
51,New Mexico St. ,WAC,11.22,109.3,98.1,69.4,-0.041,-0.88,-0.87,13,26,10,0.722222222
52,San Diego St. ,MWC,11.16,107,95.8,65.8,0.059,3.33,-3.76,6,26,8,0.764705882
53,Southern Miss ,CUSA,10.83,111.2,100.4,63.8,0.041,4.41,2.32,9,25,9,0.735294118
54,Davidson ,SC,10.65,112,101.4,67.4,0.008,-3,8.78,13,25,8,0.757575758
55,Lehigh ,Pat,9.29,108.6,99.3,67.6,-0.026,-5.57,-5.17,15,27,8,0.771428571
56,Colorado ,P12,8.89,104.8,95.9,65.1,0.081,5.35,0.06,11,24,12,0.666666667
57,Colorado St. ,MWC,8.17,111.9,103.7,63.6,0.075,4.39,0.85,11,20,12,0.625
58,Montana ,BSky,6.76,103.7,96.9,64.2,0.064,-5.3,-0.72,13,25,7,0.78125
59,Lamar ,Slnd,6.33,107.6,101.3,66,-0.028,-3.98,5.21,16,23,12,0.657142857
60,UNC Asheville ,BSth,5.5,110.4,104.9,68.2,-0.001,-4.12,7.91,16,24,10,0.705882353
61,Detroit ,Horz,5.48,108.1,102.6,67.1,-0.008,0.35,1.14,15,22,14,0.611111111
62,Vermont ,AE,5.17,105.3,100.1,61.9,-0.024,-5.44,-1.55,16,24,12,0.666666667
63,Loyola MD ,MAAC,3.91,103.9,100,63.6,0.114,-2.7,-0.69,15,24,9,0.727272727
64,LIU Brooklyn ,NEC,0.75,108.7,107.9,73.4,0.117,-5.25,-2.27,16,25,9,0.735294118
65,Norfolk St. ,MEAC,-1.82,100.9,102.7,66.6,0.189,-6.31,1.39,15,26,10,0.722222222
66,Western Kentucky ,SB,-2.67,97.8,100.5,67.9,0.083,0,2.63,16,16,19,0.457142857
67,Mississippi Valley St. ,SWAC,-6.3,98,104.2,68.9,0.125,-8.67,14.37,16,21,13,0.617647059
