,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
29,Gonzaga ,WCC,15.64,119.1,103.5,66.3,0.036,4.38,7.98,3,29,4,0.8787878787878788
30,Indiana ,B10,15.53,110,94.4,66.5,-0.012,9.77,2.17,6,19,12,0.6129032258064516
31,Marquette ,BE,15.36,112.8,97.4,68.1,-0.012,8.82,-1.71,7,20,11,0.6451612903225806
32,Nevada ,WAC,15.22,110,94.8,65.8,0.024,1.9,3.89,5,27,6,0.8181818181818182
33,Wisconsin ,B10,14.94,111.5,96.6,65.2,-0.024,7.96,0.91,9,19,12,0.6129032258064516
34,Air Force ,MWC,14.87,113.2,98.3,54.7,-0.001,0.57,-6.63,13,24,7,0.7741935483870968
35,UNC Wilmington ,CAA,14.77,107.2,92.4,62.6,-0.006,1.59,0.11,9,25,8,0.7575757575757576
36,George Washington ,A10,14.67,110.3,95.6,71.2,0.106,-1.23,-15.01,8,27,3,0.9
37,Oklahoma ,B12,13.99,113,99,62.4,0.049,6.16,-0.61,6,20,9,0.6896551724137931
38,California ,P10,13.68,110.5,96.8,61.9,0.021,7.59,-0.77,7,20,11,0.6451612903225806
39,Southern Illinois ,MVC,13.6,102.9,89.3,60.7,0.032,5.81,0.44,11,22,11,0.6666666666666666
40,Syracuse ,BE,13.15,110,96.8,68.3,0.077,8.71,-3.79,5,23,12,0.6571428571428571
41,San Diego St. ,MWC,12.78,112.8,100,66.1,-0.001,2.27,-2.2,11,24,9,0.7272727272727273
42,Xavier ,A10,12.73,110.9,98.2,65.3,-0.065,1.91,-3.38,14,21,11,0.65625
43,UAB ,CUSA,12.65,109.1,96.5,68.5,0.058,1.51,0.98,9,24,7,0.7741935483870968
44,Bucknell ,Pat,12.56,105.7,93.1,61.8,0.092,-3.17,7.18,9,27,5,0.84375
45,Alabama ,SEC,12.48,112.8,100.3,63.4,0.005,9.21,1.6,10,18,13,0.5806451612903226
46,Milwaukee ,Horz,11.86,108.3,96.5,67.7,0.017,1.54,4.95,11,22,9,0.7096774193548387
47,Iona ,MAAC,11.33,109.7,98.4,69.6,0.024,0.66,3.83,13,23,8,0.7419354838709677
48,Pacific ,BW,10.87,109.8,99,62.8,0.01,-1.99,0.54,13,24,8,0.75
49,Utah St. ,WAC,10.86,113.4,102.6,60.9,0.026,1.59,-2.41,12,23,9,0.71875
50,Kent St. ,MAC,10.54,108.3,97.8,65.7,0.017,0.67,-1.52,12,25,9,0.7352941176470589
51,Winthrop ,BSth,10.27,104.4,94.2,64,-0.027,-5.29,8.15,15,23,8,0.7419354838709677
52,South Alabama ,SB,9.28,109.1,99.9,65.7,0.056,-2.51,-3.47,14,24,7,0.7741935483870968
53,Seton Hall ,BE,9.06,106.5,97.4,65.7,0.086,6.93,-1.81,10,18,12,0.6
54,Montana ,BSky,8.95,111.6,102.7,66.2,0.056,-0.62,-0.71,12,24,7,0.7741935483870968
55,Murray St. ,OVC,8.56,104.5,96,63.2,0.01,-5.31,4.32,14,24,7,0.7741935483870968
56,Northwestern St. ,Slnd,7.51,106.6,99.1,67.6,0.016,-1.45,10.25,14,26,8,0.7647058823529411
57,Penn ,Ivy,7.3,101.8,94.5,64.3,-0.03,-5.06,1.85,15,20,9,0.6896551724137931
58,Oral Roberts ,MCon,5.7,107.1,101.4,66.9,-0.035,-3.45,6.88,16,21,12,0.6363636363636364
59,Davidson ,SC,4.86,109.9,105,66,-0.025,-3.3,9.24,15,20,11,0.6451612903225806
60,Albany ,AE,2.63,106.2,103.6,63.8,0.027,-5.65,0.12,16,21,11,0.65625
61,Monmouth ,NEC,-0.68,95.8,96.4,64.6,0.018,-3.55,4.12,16,19,15,0.5588235294117647
62,Belmont ,ASun,-0.73,107.1,107.8,69.1,0.024,-8.62,5.97,15,20,11,0.6451612903225806
63,Southern ,SWAC,-3.4,96.2,99.6,64.8,0.081,-7.68,13.07,16,19,13,0.59375
64,Hampton ,MEAC,-10.4,91.9,102.3,68.5,-0.057,-14.27,-8.98,16,16,16,0.5
