Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,AdjEM
Columbia,Ivy,15-15,-1.85,101.1,103,62.4,-0.048,-2.9,-4
Coastal Carolina,BSth,19-12,-1.91,102.8,104.7,63.8,-0.006,-4.95,-0.77
North Florida,ASun,16-16,-1.93,103.1,105.1,65.3,0.065,1.09,6.75
Tennessee Tech,OVC,19-14,-2.07,103.4,105.4,67.8,0.067,-2.21,0
Air Force,MWC,13-16,-2.2,100,102.2,61.1,-0.017,1.28,-11.06
Northeastern,CAA,14-17,-2.22,100.5,102.7,63.6,0.038,1.17,5.08
Houston,CUSA,15-15,-2.31,105.6,107.9,66.1,-0.001,-1.35,-8.74
Miami OH,MAC,21-Sep,-2.61,102.4,105.1,59.5,-0.038,3.27,5.56
Louisiana Tech,WAC,18-16,-2.62,101.1,103.7,67.2,0.053,-1.38,-5.21
Western Kentucky 16,SB,16-19,-2.67,97.8,100.5,67.9,0.083,0,2.63
Arkansas St.,SB,14-20,-2.68,102.6,105.3,62,-0.024,0.06,3.4
Ball St.,MAC,15-15,-2.69,100.1,102.8,62.3,-0.054,-4.63,-7.52
Tulane,CUSA,15-16,-2.7,97.9,100.6,64.7,-0.071,-2.91,-14.36
Wofford,SC,19-14,-2.75,101.9,104.7,60.9,0.048,-4.25,-1.18
Morehead St.,OVC,18-15,-2.75,100.5,103.2,59.8,0.027,-2.41,3.82
Albany,AE,19-15,-2.8,108.8,111.6,64.7,-0.019,-8.11,-5.75
SMU,CUSA,13-19,-2.92,98,100.9,59.3,-0.03,0.88,-3
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Florida Atlantic,SB,19-Nov,-2.99,101.5,104.4,63.4,-0.048,1.74,8.65
IUPUI,Sum,14-18,-3.04,107.9,110.9,65.3,-0.028,-1.59,-1.2
Jacksonville St.,OVC,15-18,-3.24,98.6,101.8,63.3,-0.084,-4.72,-1.53
Louisiana Lafayette,SB,16-16,-3.27,94.5,97.8,68.7,0.018,-2.19,-1.21
Portland St.,BSky,17-15,-3.36,108,111.4,66.1,-0.004,-4.45,1.72
Toledo,MAC,19-17,-3.41,103.4,106.8,65.7,-0.014,-4.66,-6.78
Cornell,Ivy,16-Dec,-3.43,98.1,101.6,67.3,0.029,1.01,3.66
Eastern Washington,BSky,15-17,-3.49,101.4,104.9,67.6,-0.047,-3.05,5.29
Austin Peay,OVC,20-Dec,-3.5,102.5,106,67.5,-0.03,0.84,9.54
South Alabama,SB,17-12,-3.57,101.1,104.6,64.8,0.104,-2.69,-3.25
Wake Forest,ACC,13-18,-3.85,102.2,106.1,66,0.058,2.88,-3.99
Lipscomb,ASun,13-18,-3.89,101,104.9,68.7,0.016,0.34,2.25
Hawaii,WAC,16-16,-4.03,103.3,107.3,69.6,0.035,-1.75,-6.13
Wright St.,Horz,13-19,-4.06,95.5,99.6,62.1,-0.001,0.9,1.72
North Carolina Central,MEAC,17-15,-4.09,97.7,101.8,65.5,-0.063,-6.31,7.35
Central Connecticut,NEC,13-16,-4.11,99.7,103.8,67,-0.052,-4.8,-1.81
St. Francis NY,NEC,15-15,-4.11,97.5,101.6,68.1,-0.027,-6.29,-5.63
San Diego,WCC,13-18,-4.29,102,106.3,65.3,0.004,0.24,-2.32
Hofstra,CAA,22-Oct,-4.48,99,103.5,65.4,-0.121,-1.1,-3.91
USC,P12,26-Jun,-4.69,91.2,95.9,59.8,-0.099,6.17,2.16
McNeese St.,Slnd,17-16,-4.75,100.9,105.7,64.2,0.043,-2.44,5.64
Southern Illinois,MVC,23-Aug,-4.79,99.2,104,64.8,-0.05,4.14,-0.27
Rider,MAAC,13-19,-4.96,104.3,109.3,67.4,-0.002,-1.34,2.06
Holy Cross,Pat,15-14,-5,99,104,65.3,0.055,-4.25,-1.3
Rhode Island,A10,24-Jul,-5.13,102.7,107.8,66.5,-0.047,3.63,0.01
Seattle,ind,15-Dec,-5.25,98.7,104,74.4,-0.071,-4.76,-2.17
Northwestern St.,Slnd,16-16,-5.39,97.3,102.7,69.3,0.005,-3.69,2.78
FIU,SB,21-Aug,-5.45,99.4,104.9,63.7,-0.068,-0.4,3.01
Southeast Missouri St.,OVC,15-16,-5.46,105.5,110.9,64.6,-0.036,-5.86,-4.06
Arizona St.,P12,21-Oct,-5.55,100.6,106.1,62.5,0.006,2.84,-3.67
