Season,TeamName,eFG_Pct,RankeFGPct,TO_Pct,RankTOPct,OR_Pct,RankORPct,FT_Rate,RankFTRate
2018,Stony Brook,50.50535077,156,20.82369273,43,28.17836812,153,41.79548157,324
2018,Syracuse,46.21212121,10,19.49992464,104,30.35048471,246,31.37829912,126
2018,TCU,52.34933606,246,17.43864574,236,26.11012433,61,30.54136874,107
2018,Temple,49.84268485,117,18.67711218,158,32.35800344,311,31.46303094,129
2018,Tennessee,46.6875326,14,20.44606715,53,31.10932476,281,37.55868545,264
2018,Tennessee Martin,50.69110577,167,19.0455688,128,32.10227273,310,34.07451923,202
2018,Tennessee St.,52.66211604,263,23.33236773,3,27.65486726,125,35.42662116,227
2018,Tennessee Tech,51.03525462,186,20.30183255,62,30.06416132,240,36.59764969,247
2018,Texas,48.29881657,47,18.02136061,201,29.05349794,199,26.23274162,26
2018,Texas A&M,46.87071722,18,15.2574698,328,27.38944365,109,27.54682503,43
2018,Texas A&M Corpus Chris,52.25644699,241,21.17744984,31,29.3258427,207,46.13180516,345
2018,Texas Southern,51.20689655,194,16.18156783,302,32.46187364,313,31.20689655,123
2018,Texas St.,51.71171171,221,19.42938571,109,27.71573604,129,29.96996997,92
2018,Texas Tech,46.33964143,12,21.77726458,17,28.60447186,173,37.94820717,271
2018,The Citadel,56.81227249,344,19.58758943,97,33.70473538,334,30.42121685,105
2018,Toledo,49.49688548,101,13.36464769,351,27.80448718,135,26.35361763,28
2018,Towson,50.56379822,160,18.73346521,153,27.46212121,112,39.34718101,296
2018,Troy,50.16189962,142,16.5313993,284,28.85964912,185,31.62439288,132
2018,Tulane,50.46498906,151,17.17812545,252,30.00906618,239,34.57330416,213
2018,Tulsa,49.47033898,100,17.88368582,211,29.63590178,221,25.31779661,16
2018,UAB,50.60142154,161,17.60522597,225,25.04378284,37,26.84527064,35
2018,UC Davis,49.43786982,98,22.02868852,13,28.83141762,182,36.56804734,246
2018,UC Irvine,45.02659574,5,14.78840986,337,24.80252765,31,41.17021277,315
2018,UC Riverside,49.1217444,78,19.35347455,111,31.89655172,302,38.1586917,275
2018,UC Santa Barbara,49.8849252,123,16.63948802,278,26.98113208,93,29.51668585,76
2018,UCF,45.72625698,8,18.886805,141,28.55871886,171,26.20111732,25
2018,UCLA,49.14489311,81,14.52131522,343,26.85758514,89,29.6912114,81
2018,UMBC,51.61725067,217,20.66853227,45,28.29181495,159,30.78167116,113
2018,UMKC,52.4895021,253,19.99951808,77,33.5005015,330,42.5314937,330
2018,UMass Lowell,55.39273154,330,20.29691417,64,32.46346555,314,33.52872216,186
2018,UNC Asheville,52.49593055,255,18.46263092,169,26.84931507,87,33.85784048,195
2018,UNC Greensboro,47.62340037,35,21.39690921,27,23.85496183,21,39.30530165,295
2018,UNC Wilmington,56.59340659,340,15.63247907,320,25.4528122,46,36.92307692,256
2018,UNLV,48.6865942,62,15.49996468,324,29.93298585,232,26.17753623,24
2018,USC,50.98870056,182,19.25002615,118,28.87266829,187,26.55367232,31
2018,USC Upstate,59.50974601,351,15.04664833,331,30.75221239,268,36.08978145,236
2018,UT Arlington,49.1991992,84,19.33631077,114,27.65957447,126,34.68468468,215
2018,UT Rio Grande Valley,51.51098901,210,20.42816501,54,30.25732032,244,45.54945055,343
2018,UTEP,50.55653193,159,17.32862412,245,26.99443414,95,36.49677797,244
2018,UTSA,49.42648592,96,16.30779903,297,27.32463295,108,41.55370177,321
2018,Utah,48.3113069,49,17.52940928,231,28.62776025,175,28.83015174,62
2018,Utah St.,51.92616372,230,17.59688434,226,26.43051771,71,33.27982879,175
2018,Utah Valley,48.06659506,43,17.44764842,235,27.5261324,118,28.46401719,54
2018,VCU,51.5060241,209,17.84692587,214,26.97201018,92,29.36746988,74
2018,VMI,52.0590043,237,18.82400954,146,30.41709054,250,34.23478795,206
2018,Valparaiso,48.436542,55,19.53286296,99,27.9313632,138,44.08338443,337
2018,Vanderbilt,52.38095238,247,14.73382368,338,27.74621212,132,36.5448505,245
2018,Vermont,50.64308682,163,16.85689201,269,22.64492754,11,24.97320472,14
2018,Villanova,48.47980008,56,18.19622004,186,27.0963271,100,26.6972095,32
2018,Virginia,44.30416911,4,20.90718806,41,25.56869882,49,26.247798,27
2018,Virginia Tech,50.38167939,148,18.56954466,163,29.4317218,211,29.36386768,73
2018,Wagner,48.97218863,73,20.3933163,59,28.55822551,170,46.67472793,348
