Season,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
2003,"Savannah St.",50.4222,209,24.7769,20,39.5963,322,66.6432,327
2003,"Seton Hall",47.1784,69,22.5415,106,33.0162,125,37.1359,172
2003,Siena,47.0022,60,20.2086,240,30.6388,43,39.824,230
2003,SMU,49.8048,188,22.2699,117,34.4953,202,32.5153,78
2003,"South Alabama",54.25,312,24.3783,30,37.5917,297,35.5714,135
2003,"South Carolina",49.8017,187,23.8519,49,35.1276,230,34.1044,104
2003,"South Carolina St.",47.8492,95,23.7722,50,36.7952,280,42.4022,273
2003,"South Florida",45.4169,18,20.8825,201,36.6128,277,32.5843,80
2003,"Southeast Missouri St.",55.8937,323,19.5061,273,32.1328,86,35.2979,128
2003,"Southeastern Louisiana",53.7247,302,25.6152,4,31.3565,57,47.7733,314
2003,Southern,47.3701,78,20.9008,198,38.6954,315,37.7693,189
2003,"Southern Illinois",50.4799,212,23.4895,65,33.2528,139,37.6725,187
2003,"Southern Miss",49.5846,171,20.8441,206,31.6635,65,33.0564,87
2003,"Southern Utah",53.8379,305,21.6717,149,37.0023,282,40.5308,239
2003,"Southwest Missouri St.",47.189,71,24.4732,26,29.9294,28,42.8672,281
2003,"Southwest Texas St.",49.5851,172,24.7044,21,34.9241,219,41.148,249
2003,"St. Bonaventure",53.601,298,23.285,74,37.3085,289,37.5398,184
2003,"St. Francis NY",52.1314,271,23.5548,63,35.4677,245,42.984,284
2003,"St. Francis PA",51.1335,234,23.6249,58,33.1144,131,30.6045,49
2003,"St. John's",49.8628,190,25.2096,9,35.9913,264,41.438,259
2003,Stanford,45.5775,20,18.671,294,32.3299,99,34.9636,125
2003,"Stephen F. Austin",48.1548,107,25.4422,5,37.3236,290,39.7974,228
2003,Stetson,58.0405,327,25.41,6,38.3354,310,36.2162,149
2003,"Stony Brook",51.2221,242,23.6225,59,35.7604,260,30.7961,53
2003,Syracuse,44.2743,10,20.3798,226,36.6417,278,29.9601,36
2003,TCU,52.618,281,19.4858,274,33.2546,140,36.4787,155
2003,Temple,51.9401,263,23.0855,84,33.931,175,30.5432,47
2003,Tennessee,47.9141,99,19.1856,285,29.3569,20,32.6899,82
2003,"Tennessee Martin",54.1578,311,22.8493,93,37.8296,301,39.1613,217
2003,"Tennessee St.",57.1338,326,19.7471,261,39.023,318,43.1833,287
2003,"Tennessee Tech",47.0158,61,21.1623,186,32.2952,98,41.2911,255
2003,Texas,46.6123,46,19.4784,276,32.5865,105,36.0163,144
2003,"Texas A&M",48.9156,141,20.2814,231,32.6241,108,33.4115,94
2003,"Texas A&M Corpus Chris",53.9023,306,22.641,98,34.7253,209,34.835,123
2003,"Texas Pan American",50.6419,220,21.364,176,33.945,176,39.9429,233
2003,"Texas Southern",49.0933,149,19.4762,278,32.0705,83,31.4667,61
2003,"Texas Tech",49.1885,153,24.2208,35,33.602,159,28.2199,15
2003,"The Citadel",51.1188,233,22.5232,108,34.9663,224,42.9784,283
2003,Toledo,52.1438,272,23.0433,86,32.6075,107,43.0739,286
2003,Towson,49.2054,155,18.5704,297,38.2209,307,30.0765,39
2003,"Troy St.",48.2086,111,24.3072,33,36.0372,265,30,37
