,Unnamed: 0,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
10,97,2003,Butler,59.6995,58.7876,113.482,115.085,99.9479,99.7088,15.3765,12,0,4.1,1.83,55.6487,49.7273,5.9214,17.3765,19.97,2.5935,28.6805,34.5114,-5.8309,32.5264,28.1818,4.3446,0.8
11,108,2003,Auburn,68.1467,66.7988,102.385,107.32,96.5955,94.4324,12.8881,10,0,8.22,-4.71,51.8437,47.8377,4.006,23.3848,22.8948,-0.49,36.8692,35.6834,1.1858,35.333,29.5782,5.7548,0.4
12,97,2003,Butler,59.6995,58.7876,113.482,115.085,99.9479,99.7088,15.3765,12,0,4.1,1.83,55.6487,49.7273,5.9214,17.3765,19.97,2.5935,28.6805,34.5114,-5.8309,32.5264,28.1818,4.3446,0.8
13,180,2004,Pacific,64.5972,63.9397,106.22,108.144,98.1151,99.4025,8.741719999999999,12,1,0.28,3.56,52.7061,45.7627,6.9434,21.3336,19.3636,-1.97,31.1433,33.9991,-2.8558,45.2486,28.5949,16.6537,1.0
14,175,2004,Manhattan,68.0888,65.3023,108.81,107.701,93.4105,96.0844,11.6168,12,1,-1.77,1.31,49.42,46.201,3.219,18.225,24.0001,5.7751,35.3687,33.1596,2.2091,46.2877,41.8505,4.4372,0.9
15,171,2004,UAB,72.3976,70.7046,102.861,106.371,92.4884,91.9116,14.4594,9,0,5.34,1.6,49.4992,47.9795,1.5197,18.2287,27.2147,8.986,31.5938,37.5,-5.9062,32.9494,44.6215,-11.6721,0.7
16,151,2004,Nevada,69.5056,68.5767,108.229,111.833,94.6666,93.0023,18.8308,10,1,7.09,4.97,49.3306,45.7285,3.6021,18.221,20.082,1.861,36.9437,29.7748,7.1689,41.1946,33.4382,7.7564,0.9
17,159,2004,Alabama,66.2365,64.999,106.919,113.39,100.224,96.9288,16.4613,8,0,11.2,6.59,51.3714,48.1808,3.1906,18.9299,19.4908,0.5609,33.3796,32.9956,0.384,40.6857,33.6273,7.0584,0.6
18,236,2005,Wisconsin Milwaukee,67.8261,68.9088,107.337,108.035,93.7108,95.0665,12.9683,12,1,2.31,7.63,51.0681,46.6034,4.4647,19.462,24.303,4.841,36.6604,35.6061,1.0543,37.1247,37.6989,-0.5742,0.9
19,248,2005,Bucknell,63.5226,63.3119,100.019,101.077,91.5787,95.2281,5.8484,14,1,-2.34,2.28,51.2934,45.1242,6.1692,23.8151,23.7198,-0.0953,31.4054,32.4574,-1.052,42.3975,39.1884,3.2091,0.7
20,233,2005,Vermont,65.565,64.9605,110.974,112.615,94.3801,98.97,13.6451,13,1,-1.71,5.11,50.7289,46.614,4.1149,17.8806,19.3587,1.4781,35.4553,27.847,7.6083,31.4255,26.9752,4.4503,0.7
21,236,2005,Wisconsin Milwaukee,67.8261,68.9088,107.337,108.035,93.7108,95.0665,12.9683,12,1,2.31,7.63,51.0681,46.6034,4.4647,19.462,24.303,4.841,36.6604,35.6061,1.0543,37.1247,37.6989,-0.5742,0.9
22,217,2005,NC State,65.7805,62.7547,112.333,116.383,100.993,97.3737,19.009,10,0,10.05,-3.82,53.1593,48.5484,4.6109,18.458,22.6078,4.1498,32.7513,35.9008,-3.1495,38.7467,39.1936,-0.4469,0.6
