,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
37,2002,Tulsa,71.3555,69.5823,112.08200000000001,114.383,96.5354,99.1584,15.2246,12,0,2.03,-1.44,54.0021,48.1137,5.8884,18.0933,21.0734,2.9801,32.4955,31.8371,0.6584,36.275,32.9716,3.3034,0.8
38,2002,Missouri,70.7578,68.7099,112.71600000000001,115.323,101.992,100.214,15.1086,12,0,7.92,-0.39,52.996,49.2941,3.7019,19.959,20.0369,0.0779,39.659,33.3838,6.2752,31.4692,36.2353,-4.7661,0.5
39,2002,Valparaiso,69.9092,68.1911,110.569,111.344,94.0668,97.2123,14.1322,13,1,-1.66,2.06,51.6484,47.9857,3.6627,19.1322,24.2044,5.0722,36.0067,34.3426,1.6641,38.1999,32.4503,5.7496,0.9
40,2002,Hawaii,67.0323,64.9374,108.44200000000001,110.916,94.6345,97.3463,13.5696,10,1,-0.72,-9.7,51.9591,46.1843,5.7748,18.1765,21.9885,3.812,31.2621,34.8444,-3.5823,39.9205,34.3132,5.6073,0.8
41,2002,Wisconsin,63.8016,63.0111,103.029,109.705,100.376,96.4136,13.2916,8,0,10.57,8.49,49.7531,51.4581,-1.705,19.8373,21.0833,1.246,30.964000000000002,30.4752,0.4888,39.0123,30.4982,8.5141,0.7
42,2002,Pepperdine,74.1445,72.4766,107.055,110.976,99.0433,98.2587,12.7171,10,0,3.97,11.94,51.2284,47.5166,3.7118,19.363,22.988000000000003,3.625,33.9441,37.0719,-3.1278,33.7167,41.4459,-7.7292,0.8
43,2002,Southern Illinois,70.9269,70.9955,107.09200000000001,108.06,94.3099,95.3563,12.7039,11,0,2.12,3.16,51.3475,45.3892,5.9583,19.4219,21.628,2.2061,36.1527,32.3682,3.7845,41.6076,42.1418,-0.5342,0.7
44,2002,Pennsylvania,65.6728,65.1685,109.541,109.30799999999999,94.2234,96.9278,12.3806,11,0,-2.38,0.98,55.7319,46.7213,9.0106,19.7174,21.3566,1.6392,26.7137,31.6163,-4.9026,35.8025,30.3561,5.4464,1.0
45,2002,Creighton,68.1765,66.9458,109.64299999999999,110.87,98.2993,99.5253,11.3452,12,1,1.39,0.93,52.7064,49.7121,2.9943,20.6023,22.8965,2.2942,35.6546,30.2026,5.452000000000001,36.9054,36.9027,0.0027,0.8
46,2002,Wyoming,69.6172,69.059,105.365,108.19,97.0568,97.3391,10.8511,11,0,3.51,-5.47,49.5546,46.4348,3.1198,20.4224,18.7361,-1.6863,35.7622,26.6726,9.0896,48.5748,37.6232,10.9516,0.7
47,2002,UNC Wilmington,64.2049,63.0568,104.16,106.03200000000001,93.3916,95.3145,10.7173,13,1,0.83,4.57,49.6118,46.2888,3.323,18.7602,24.0205,5.2603,33.2149,34.4798,-1.2649,36.3283,36.3636,-0.0353,0.8
48,2002,San Diego St,70.8861,69.7602,103.141,106.815,98.7068,96.454,10.3606,13,1,5.64,0.67,50.8681,48.2242,2.6439,21.458000000000002,20.7616,-0.6964,34.982,31.3692,3.6128,39.8264,44.6726,-4.8462,0.8
49,2002,Boston College,70.6985,69.027,103.70700000000001,109.516,99.2527,99.2719,10.2439,11,0,6.41,-2.78,47.4124,47.4701,-0.0577,19.7486,22.5636,2.815,37.3554,37.8877,-0.5323,40.5646,42.3286,-1.764,0.5
50,2002,Santa Barbara,63.2345,63.1683,105.21600000000001,107.66,96.0965,98.0668,9.593210000000001,14,1,0.45,3.37,51.6344,45.1336,6.5008,21.1956,18.4607,-2.7349,32.0838,29.6262,2.4576,41.0941,39.2494,1.8447,0.8
51,2002,St Johns,71.8188,68.7905,97.0139,101.956,94.3765,92.6749,9.28117,9,0,6.4,-0.79,43.702,47.1971,-3.4951,20.8725,25.7025,4.83,38.4198,36.339,2.0808,41.5259,42.0159,-0.49,0.6
